name,Condition,Mito,Animal,b_vol,b_sa,nr_ves_b,nr_ves_in,msb,mito_vol,tpsd,mean_ves_vol,final_med_mean_dis,final_dis_AZ,disp_cm,dis_ves_cm_f,dis_cm_az,final_chull_ax,final_chull_mvv_ax,med_ass_ves_vol_final_im,med_ass_ves_vol_im,ra_ass_ves_vol_final_ax,,,,,,,,,,,,,,ske_ass_im,ra_ass_ves_vol,ra_ass_ves_vol_final,ra_ske_ass_im,pval_ra_vav,med_ass_ves_vol_final_ax,ske_ass_ax,ra_ass_ves_vol_ax,ra_ass_ves_vol_final_ax,ra_ske_ass_ax,pval_ra_vav_ax,dis_ves_ol_ra_f,p_val_dis_ol,med_ass_vol_del_ev_f,,,dis_chull_az,dis_chull_az_f,,dis_ves_cm,dis_ves_cm_f,dis_ves_ol,dis_ves_ol_f,final_med_mean_dis_ra,rat,pval_mdnv_ra,dol_dcm,dis_m_cm,med_dis_m,med_dis_m_f,den,chull_del_ves_f
d01c03ax01,Control,Yes,JB023,0.281525,2.4635,560,502,n,0.0284091309,0.149145,0.0316104242744039,0.0249,0.306815895700633,0.26415949427751,0.206277400926643,0.343944954108917,0.17607479271,0.14447136267789,0.000100972257396833,0.0001553062940635,0.000197437895267333,,,,,,,,,,,,,,2.88007442420537,0,-5.43340366666667E-05,100,0,0.000101062198750333,2.853256626921,0.000251771931934,0.000197437895267333,0.709472932452873,2.76871713341183E-29,0.072,0.0820411043116335,0.000151097135417333,,,0.395960856590834,0.372460856590834,,0.229777400926643,0.206277400926643,0.119803252506818,0.073,0.0394068373251573,0.632246230927982,9.67095785784017E-19,0.543093639003684,0.166891550609744,0.209455201089812,0.185955201089812,#REF!,0.169223181955
d01c06ax02,Control,Yes,JB023,0.273475,2.56175,659,598,y,0.0132145844,0.2617734,0.0375913800045329,0.0242,0.203062536594081,0.250359302965482,0.212456380214871,0.250375316593124,0.158002923815,0.120406881961751,0.000108960981222833,0.0001632950178895,0.000137116352476833,,,,,,,,,,,,,,1.8853068545612,0.0001929911142705,0.000138657077603833,0.850719096188105,2.0253355869208E-07,0.000108960981222833,1.8853068545612,0.0001914503891435,0.000137116352476833,0.864063829482592,7.5088128342441E-07,0.065,1.15055208502189E-05,0.000212446989152333,,,0.146869871431418,0.123369871431418,,0.235956380214871,0.212456380214871,0.125574580177516,0.079,0.0319915457122675,0.757528525175766,1.84365792532E-09,0.544306256462487,0.220802129469012,0.295262085005234,0.271762085005234,#REF!,0.146162521605
d01c07ax03,Control,Yes,JB023,0.278475,3.12425,754,700,y,0.0606388617,0.1294623,0.0430292128951268,0.0196,0.255745710334454,0.28947269006579,0.223145442222316,0.386422825128591,0.177674998585,0.134652500696414,8.55652571033333E-05,0.00013989929377,0.000102956068912333,,,,,,,,,,,,,,3.54243401006535,0.000190842941599,0.000136508904932333,1.86103864403207,1.93520639768431E-26,8.32646948233333E-05,0.825261814896738,0.000157290105579,0.000102956068912333,1.38973789667426,5.35994695755541E-06,0.091,0.25835094778285,0.000207794107429833,,,0.183462570964133,0.159962570964133,,0.246645442222316,0.223145442222316,0.128671438389435,0.082,0.0329268302273195,0.595462223744166,7.27107329494029E-32,0.522694330019649,0.318769903215463,0.288489969510035,0.264989969510035,#REF!,0.152104801385
d01c09ax04,Control,Yes,JB023,0.187400,2.1535,336,295,y,0.0262277648,0.0586565,0.019177994279309,0.0249,0.158654097843986,0.257457563547859,0.166905973547204,0.197216595518927,0.094666390585,0.0754934919188426,9.12588558863333E-05,0.000145592892553,0.000159043382024833,,,,,,,,,,,,,,0.826669939222999,0.0002195752963315,0.000165241259664833,0.707364212751667,2.23043603776E-09,9.12588558863333E-05,0.826669939222999,0.0002133774186915,0.000159043382024833,0.703222667709173,9.070075285494E-08,0.055,0.233328988029651,0.000161585677828333,,,0.180224980886434,0.156724980886434,,0.190405973547204,0.166905973547204,0.103168758687345,0.056,0.037395966045024,0.667119377599528,1.1375329028167E-07,0.560695340134747,0.233402790315352,0.270301719126543,0.246801719126543,#REF!,0.084781360425
d01c10ax05,Control,No,JB023,0.166600,1.7695,551,486,n,0,0.105877,0.027349296993669,0.0193,0.201722727503737,0.225753374150397,0.185071026860439,0.211675824964713,0.0904720593624,0.0631142410412222,7.85225921326667E-05,0.000125578313946,8.83156576216667E-05,,,,,,,,,,,,,,0.623030199209063,0.000135371379435,8.83156576216667E-05,1.03633062018819,0.0314208331650589,7.85225921326667E-05,0.623030199209063,0.000135371379435,8.83156576216667E-05,1.03633062018819,0.0628416663301178,0.043,0.000122948491541664,0.000221342361377667,,,0.204332894210803,0.181932894210803,,0.207471026860439,0.185071026860439,0.100088433013813,0.055,0.0245557749011142,0.784302900380074,9.4750690162936E-07,0.487958215015806,0,0,0,#REF!,0.0810577391264
d01c11ax06,Control,No,JB023,0.161850,1.98275,339,302,y,0,0.0651148,0.0168300483629441,0.0215,0.168940638726796,0.206440503209152,0.163179677543599,0.232240195050695,0.0682619888896,0.0514277922445996,7.84307832196667E-05,0.000125486505033,0.000103105162869167,,,,,,,,,,,,,,0.6908264119805,0.000152934683954,0.000105878962140667,0.799199310472319,0.00249051811045564,7.84307832196667E-05,0.6908264119805,0.0001501608846825,0.000103105162869167,0.828711271164657,0.00837048073393445,0.051,0.043603815876623,0.000159791017091667,,,0.186960002871593,0.164560002871593,,0.185579677543599,0.163179677543599,0.0992873856803572,0.054,0.029504539609536,0.729696983542994,3.17810471980733E-05,0.555496540524573,0,0,0,#REF!,0.0569298477536
d01c13ax08,Control,Yes,JB023,0.612300,5.081,1212,1131,y,0.083217863,0.406952,0.0689869090298149,0.0254,0.205782356511852,0.548274349226888,0.315117207636419,0.272906330927525,0.41992502851,0.350937660285101,9.61290571893333E-05,0.000150463093856,0.000199273589108333,,,,,,,,,,,,,,3.03619748020076,0.0002935860696125,0.000239252032945833,3.37061061888204,2.72055322502078E-80,9.61290571893333E-05,3.03619748020076,0.000253607625775,0.000199273589108333,0.820388690283945,9.84777682087157E-48,0.086,0.175841118909783,0.000129292393737833,,,0.200073592722463,0.176573592722463,,0.338617207636419,0.315117207636419,0.137805653084431,0.091,0.0422397797952192,0.601514658609426,1.01597288996502E-45,0.350444895012145,0.0968251745215772,0.160301750618092,0.136801750618092,#REF!,0.40414488671
d01c14ax09,Control,Yes,JB023,0.183825,1.891,284,242,n,0.0199765004,0.077739,0.0162037814589347,0.0268,0.208526205847769,0.196165618133767,0.15503482021479,0.257402979383614,0.0756393850755,0.0594372563552298,0.000112396760428333,0.000166730797095,0.000153086235833333,,,,,,,,,,,,,,1.96723719788229,0.0002074202725,0.000153086235833333,0.830851029802376,0.000264929463981633,0.000112396760428333,1.96723719788229,0.0002074202725,0.000153086235833333,0.830851029802376,0.000529858927963265,0.043,0.0509521139930216,0.000174281681009333,,,0.236116433283976,0.212616433283976,,0.17853482021479,0.15503482021479,0.0968427038081487,0.050,0.0359686658089497,0.745176734108263,7.8820436959671E-07,0.571940377882506,0.165657410502319,0.212085253286868,0.188585253286868,#REF!,0.0667552345155
d01c15ax10,Control,No,JB023,0.104750,1.42425,202,163,n,0,0.041341,0.00943689584077105,0.0287,0.195421941390797,0.2045135678454,0.140242934515934,0.208143175136165,0.0527274143304,0.0432939727881636,0.000107919273808667,0.000154974995622,0.000171716995937667,,,,,,,,,,,,,,0.740978723757541,0.000218772717751,0.000171716995937667,-0.140713335556708,0.000381234809129584,0.000107919273808667,0.740978723757541,0.000218772717751,0.000171716995937667,-0.140713335556708,0.000762469618259168,0.036,0.420362097861691,0.000164395830354667,,,0.238838845494453,0.216438845494453,,0.162642934515934,0.140242934515934,0.0780459045893828,0.033,0.0395141816967801,0.726907375116931,0.001335025277752,0.512508463312522,0,0,0,#REF!,0.0459849469688
d01c16ax11,Control,Yes,JB023,0.228225,2.14825,394,340,n,0.0273973607,0.10252,0.0223629476676542,0.0250,0.192112631422338,0.247044599646971,0.193279573238919,0.216283090101167,0.119023705655,0.0966649388339464,0.000101278538053833,0.0001556125747205,0.000164612717349333,,,,,,,,,,,,,,1.88521703010577,0.0002300749128655,0.000175740876198833,2.81725584416527,7.4168274E-13,0.000101278538053833,1.88521703010577,0.000218946754016,0.000164612717349333,0.950370274390446,4.7015575604E-10,0.058,0.0866606800023911,0.000162170619956333,,,0.212020621236842,0.188520621236842,,0.216779573238919,0.193279573238919,0.106072254736927,0.059,0.0393251571545044,0.636139196878781,3.609122777E-11,0.499274538876714,0.154841801605859,0.143960016690885,0.120460016690885,#REF!,0.112313927995
